ID,Game,Player Tracker,Camera Tracker,Audio Tracker,Game Object Tracker,Heatmap,Annotation System,Game Input Tracker,Overall
P16,FPS,6,6,7,6,1,1,7,7
P08,FPS,5,4,6,6,6,4,5,6
P06,FPS,7,7,7,7,7,4,7,7
P02,FPS,6,6,5,7,5,6,6,7
P17,FPS,5,5,4,3,6,3,6,6
P18,FPS,7,7,7,7,7,5,7,7
P15,FPS,7,6,6,6,5,6,2,6
P19,FPS,7,7,6,7,7,6,7,7
P04,FPS,7,7,7,4,7,5,7,7
P20,FPS,6,6,6,6,5,7,5,5
P05,FPS,7,6,7,6,1,1,7,7
P07,FPS,7,6,5,3,3,5,7,4
P11,FPS,6,6,4,5,1,2,6,5
P13,FPS,7,7,5,4,2,1,7,7
P12,FPS,7,7,7,5,7,7,7,7
P03,FPS,5,5,6,7,6,4,7,6
P01,FPS,5,2,7,4,6,6,4,5
P09,FPS,7,3,3,5,4,6,4,5
P14,FPS,4,4,3,3,2,2,5,3
P10,FPS,4,7,5,5,3,2,5,5
P16,AA,7,6,6,6,4,2,6,7
P08,AA,6,5,4,6,4,3,6,6
P06,AA,7,7,5,7,4,4,7,6
P02,AA,6,7,5,6,4,7,6,7
P17,AA,6,2,4,3,3,3,5,7
P18,AA,6,7,5,6,5,6,7,7
P15,AA,6,3,7,6,5,5,7,7
P19,AA,7,7,5,7,7,6,7,7
P04,AA,7,5,7,7,7,7,7,7
P20,AA,7,5,6,6,7,7,6,6
P05,AA,7,6,3,5,4,3,6,6
P07,AA,7,5,3,7,7,5,7,6
P11,AA,5,5,6,7,2,6,7,5
P13,AA,5,5,3,3,6,3,5,7
P12,AA,7,5,4,3,5,3,7,7
P03,AA,6,4,7,6,3,5,7,7
P09,AA,7,5,2,5,2,5,6,5
P14,AA,6,6,2,5,2,4,4,6
P10,AA,7,7,4,5,6,2,7,5
P01,AA,6,3,5,3,6,3,6,7